product_1_id,product_2_id,product_1_name,product_2_name,brand,category,size_value,size_unit,retailer_1,retailer_2,price_1,price_2,currency,similarity_name,similarity_category,similarity_avg,match_type,price_diff,price_diff_pct
PRDb46a5a02,PRDb46a5a02,Ancient Wisdom Solid Shampoo Bar,Ancient Wisdom Solid Shampoo Bar,ancient wisdom,shampoo bar,,,my happy moments,simply soaperior,6.85,3.15,GBP,100.0,100.0,100.0,perfect,3.7,54.0
PRDfd79310d,PRDfd79310d,Argan Oil Body Butter,Argan Oil Body Butter,argan oil,body butter,250.0,ml,the range,wilko,1.0,1.0,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRDa7e1eac5,PRDa7e1eac5,ATTITUDE Detox Shampoo Bar,ATTITUDE Detox Shampoo Bar,attitude detox,shampoo bar,,,biggreensmile.com,amazon.co.uk,7.94,21.88,GBP,100.0,100.0,100.0,perfect,13.94,175.6
PRDe128499b,PRDe128499b,Balance Active Formula Brightening Serum,Balance Active Formula Brightening Serum,balance active,face serum,,,wilko,home bargains,3.29,2.99,GBP,100.0,100.0,100.0,perfect,0.3,9.1
PRDef469070,PRDda45072e,"Cacumen Biotae Isatis Indicotica Shampoo Bar, Usman Shampoo Bar Grass","Cacumen Biotae Isatis Indicotica Shampoo Bar, Usman Shampoo Grass Bar",cacumen biotae,shampoo bar,,,ebay - yusnshushangmao,ebay - fullhouseer,12.28,12.28,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRD5c42e109,PRD5c42e109,Coconut Conditioner Bar,Coconut Conditioner Bar,coconut conditioner,conditioner bar,,,independent design collective,superfly soap,3.0,5.25,GBP,100.0,100.0,100.0,perfect,2.25,75.0
PRDbc45741b,PRDbc45741b,Davines DEDE Shampoo Bar,Davines DEDE Shampoo Bar,davines,shampoo bar,,,davines,north laine hair company,18.5,18.5,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRD1e850c4f,PRD1e850c4f,Faith in Nature Coconut & Shea Butter Shampoo Bar,Faith in Nature Coconut & Shea Butter Shampoo Bar,faith in nature,shampoo bar,,,holland & barrett,amazon.co.uk,7.0,4.5,GBP,100.0,100.0,100.0,perfect,2.5,35.7
PRDcdd158d6,PRDcdd158d6,Friendly Soap Conditioner Bar Lavender & Geranium,Friendly Soap Conditioner Bar Lavender & Geranium,friendly soap,conditioner bar,,,friendly soap,amazon.co.uk - amazon.co.uk-seller,8.99,9.99,GBP,100.0,100.0,100.0,perfect,1.0,11.1
PRDcdd158d6,PRD9e61c9a7,Friendly Soap Conditioner Bar Lavender & Geranium,Friendly Soap Lavender & Geranium Conditioner Bar,friendly soap,conditioner bar,,,friendly soap,c & g natural beauty shop,8.99,8.99,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRDcdd158d6,PRD9e61c9a7,Friendly Soap Conditioner Bar Lavender & Geranium,Friendly Soap Lavender & Geranium Conditioner Bar,friendly soap,conditioner bar,,,amazon.co.uk - amazon.co.uk-seller,c & g natural beauty shop,9.99,8.99,GBP,100.0,100.0,100.0,perfect,1.0,10.0
PRDc5fa35a7,PRDc5fa35a7,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,garnier,shampoo bar,,,tesco,boots.com,4.0,4.0,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRD459b7e1a,PRD459b7e1a,Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,little soap company,shampoo bar,,,waitrose & partners,amazon.co.uk,5.8,4.15,GBP,100.0,100.0,100.0,perfect,1.65,28.4
PRD3a4d51fd,PRD3a4d51fd,Minimalist Multi-Peptides 10% Face Serum,Minimalist Multi-Peptides 10% Face Serum,minimalist multi peptides,face serum,,,superdrug.com,amazon.co.uk - amazon.co.uk-seller,12.99,12.99,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRDf4402683,PRDd4a6232d,Soap & Glory Body Butter The Righteous Butter,Soap & Glory The Righteous Butter Body Butter,soap,body butter,,,boots.com,ebay - jadashats-us,7.49,49.85,GBP,100.0,100.0,100.0,perfect,42.36,565.6
PRDd4a6232d,PRDd4a6232d,Soap & Glory The Righteous Butter Body Butter,Soap & Glory The Righteous Butter Body Butter,soap,body butter,,,ebay - jadashats-us,boots.com,49.85,7.49,GBP,100.0,100.0,100.0,perfect,42.36,85.0
PRDce9b3f2d,PRDce9b3f2d,The Ordinary Niacinamide 10% + Zinc 1%,The Ordinary Niacinamide 10% + Zinc 1%,the ordinary,face serum,,,the ordinary,boots.com,6.93,5.0,GBP,100.0,100.0,100.0,perfect,1.93,27.8
PRDaadde9dc,PRDaadde9dc,Treaclemoon Our Glorious Body Butters,Treaclemoon Our Glorious Body Butters,treaclemoon our,body butter,,,notino.co.uk,boots.com,6.56,9.5,GBP,100.0,100.0,100.0,perfect,2.94,44.8
