product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,hybrid_name_similarity,lexical_similarity,semantic_similarity,brand_similarity,size_similarity
PRDff85511b,PRD78142e75,Sanctuary Spa Signature Collection Body Butter,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,,,300.0,ml,3.5,16.0,GBP,GBP,Amazon.co.uk,Ocado,89.6,69.56,71.85,66.12,100.0,50.0
PRDff85511b,PRD913efd69,Sanctuary Spa Signature Collection Body Butter,Sanctuary Spa Lily & Rose Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,,,,,3.5,13.0,GBP,GBP,Amazon.co.uk,Boots.com,91.6,71.62,70.0,74.05,100.0,50.0
PRDff85511b,PRDd987acec,Sanctuary Spa Signature Collection Body Butter,Sanctuary Spa Body Butter,Sanctuary Spa,Sanctuary Spa,Body Butter,,,,,3.5,13.0,GBP,GBP,Amazon.co.uk,Boots.com,100.0,86.68,86.67,86.7,100.0,50.0
PRDf4402683,PRD47ea1152,Soap & Glory Body Butter The Righteous Butter,Soap & Glory Berry & Bright Body Butter,Soap,Soap,Body Butter,,,200.0,ml,7.49,6.0,GBP,GBP,Boots.com,Boots.com,92.0,72.05,67.32,79.14,100.0,50.0
PRDf4402683,PRDe4842ed8,Soap & Glory Body Butter The Righteous Butter,Soap & Glory Original The Righteous Butter Body Lotion,Soap,Soap,Body Butter,,,,,7.49,3.66,GBP,GBP,Boots.com,eBay,100.0,88.35,90.0,85.87,100.0,50.0
PRDf4402683,PRD1e2d2b20,Soap & Glory Body Butter The Righteous Butter,Soap & Glory Call of Fruity Body Butter,Soap,Soap,Body Butter,,,,,7.49,7.49,GBP,GBP,Boots.com,Boots.com,90.0,70.04,63.3,80.15,100.0,50.0
PRDf4402683,PRDd4a6232d,Soap & Glory Body Butter The Righteous Butter,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,,,,,7.49,7.49,GBP,GBP,Boots.com,Boots.com,100.0,99.45,100.0,98.62,100.0,50.0
PRDf4402683,PRDeff54c48,Soap & Glory Body Butter The Righteous Butter,Soap and Glory The Righteous Body Butter,Soap,Soap,Body Butter,,,,,7.49,9.99,GBP,GBP,Boots.com,Boots.com,100.0,94.92,94.29,95.88,100.0,50.0
PRDf4402683,PRDd4a6232d,Soap & Glory Body Butter The Righteous Butter,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,,,,,7.49,49.85,GBP,GBP,Boots.com,eBay - jadashats-us,100.0,99.45,100.0,98.62,100.0,50.0
PRDf4402683,PRDa2063a8c,Soap & Glory Body Butter The Righteous Butter,Soap & And Glory The Righteous Body Butter,Soap,Soap,Body Butter,,,600.0,ml,7.49,20.39,GBP,GBP,Boots.com,eBay - zorilus7,100.0,94.92,94.29,95.88,100.0,50.0
PRDe1b4ac16,PRD8ed88d88,Derma V10 Cocoa Body Butter,Derma V10 Body Butter Coconut,Derma V10,Derma V10,Body Butter,,,220.0,ml,1.49,3.99,GBP,GBP,Wilko,Amazon.co.uk - Amazon.co.uk-Seller,100.0,80.34,82.38,77.28,100.0,50.0
PRDe1b4ac16,PRDfb8bacb6,Derma V10 Cocoa Body Butter,Derma V10 Body Butter Moisturising Cream Vegan Friendly (Coconut),Derma V10,Derma V10,Body Butter,,,4.0,pack,1.49,8.1,GBP,GBP,Wilko,Amazon.co.uk - Amazon.co.uk-Seller,89.2,69.19,68.5,70.22,100.0,50.0
PRD8ed88d88,PRDfb8bacb6,Derma V10 Body Butter Coconut,Derma V10 Body Butter Moisturising Cream Vegan Friendly (Coconut),Derma V10,Derma V10,Body Butter,220.0,ml,4.0,pack,3.99,8.1,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,94.3,84.34,82.22,87.51,100.0,0.0
PRD67541c15,PRD0ac1e5bb,Tree Hut Watermelon Whipped Body Butter,Tree Hut Whipped Body Butter Vanilla,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,100.0,80.35,81.07,79.26,100.0,50.0
PRD67541c15,PRD7afe8a16,Tree Hut Watermelon Whipped Body Butter,Tree Hut Coco Colada Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,98.3,78.3,75.15,83.02,100.0,50.0
PRD67541c15,PRD8fe440bd,Tree Hut Watermelon Whipped Body Butter,Tree Hut Tropic Glow Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,97.3,77.3,75.15,80.52,100.0,50.0
